Actual_Train,Predicted_Train
41344.0,40226.0161575377
42223.0,40902.681297689676
41704.5,41007.52406421304
41265.5,40554.82938250899
41556.0,41850.515833705664
43261.5,42474.43663391471
44631.0,42934.63415071368
43316.0,42084.9902612865
40696.5,41026.826633661985
38467.5,38994.57051643729
35026.0,35338.60833001137
31467.5,31509.23219048977
28200.5,28419.436697274446
27566.0,27556.36450535059
27164.5,26633.817083626986
26220.0,25729.75893190503
25630.5,25506.34675528109
25222.5,25652.560469597578
26027.5,26907.753273010254
29339.0,30370.691734194756
33465.0,33703.12418818474
37518.5,35594.61845433712
39727.5,37069.48481693864
40414.5,38569.30942940712
41205.5,39860.71079683304
42192.0,40738.70398128033
42086.0,41237.54799118638
41561.5,41643.666017860174
41878.5,42433.10605570674
43568.0,43417.82854631543
44816.5,43675.890627115965
43602.5,42710.30135062337
41032.5,41276.51941022277
38538.0,39292.15934422612
35588.5,35719.93352365494
32437.0,31850.90657451749
29265.5,28959.804271697998
28705.5,27888.03412462771
28433.5,27359.523392751813
27690.5,26491.34001749754
27044.0,26401.257749781013
26755.0,26686.612624019384
27764.5,27692.504531234503
31528.0,30101.345862030983
35902.5,33224.83715873957
39630.5,35720.82756227255
41440.5,38128.8162086606
41827.0,39157.74044114351
42063.5,39757.22090372443
42473.0,40013.84149494767
41599.0,40600.626215308905
41075.0,40924.27607187629
41245.5,41878.90845218301
43454.0,42168.69118067622
45386.5,42586.784204781055
44368.0,41530.52877852321
41267.0,39980.51394084096
38085.5,37833.108012765646
34605.5,34250.34671509266
31024.5,30725.63885012269
27624.5,27584.68229240179
26430.5,26490.640934437513
25381.0,25690.76191264391
23996.0,24752.337428465486
22779.5,24327.95068757236
22066.0,24343.747010856867
22386.0,25374.02608600259
24328.5,28356.133249253035
26493.0,31256.648557782173
29149.5,33050.99587881565
32527.0,34452.79329228401
34275.5,34995.61651903391
34683.5,35008.56826350093
35055.5,34724.49438512325
34647.0,34212.174810767174
34193.5,34015.93136495352
34746.0,35857.448084682226
37227.0,37787.16151711345
39851.0,39620.56296560168
39139.0,39540.06404355168
36581.0,38854.32066985965
33844.5,37441.99565628171
30904.5,34132.97953093052
28270.0,29985.98337239027
25592.5,26574.53877863288
25272.500000000004,25221.40739238262
24666.5,24308.569348201156
23536.0,23066.808785781264
22544.0,22781.92259258032
22056.0,23012.99612876773
22266.5,24054.456594377756
23586.0,25718.242769271135
25052.5,28004.170528754592
27143.5,29821.862300872803
29254.5,31324.961772859097
30411.5,30634.5315887928
31447.5,29531.384427815676
33195.5,29826.126707538962
34229.5,30017.637065649033
34813.0,31148.836165189743
36432.0,33366.516679406166
39606.0,35850.100820183754
41483.5,38018.98730605841
39988.0,38307.5195620358
37017.5,37561.18636414409
34105.0,35537.80564790964
31069.0,32106.70402005315
27958.0,28561.999425694346
25137.5,25650.772392362356
24685.5,24619.273368045688
24463.5,23870.367347568274
23610.5,22854.386982560158
23087.5,22593.751094549894
22953.5,23169.052144870162
24140.5,23827.648449480534
28228.0,25147.393204182386
33192.5,27070.921228468418
36913.5,29146.169969260693
38713.5,31605.97937825322
39000.0,33659.23555675149
39335.0,34832.875890403986
40341.5,35811.66503661871
40240.5,36356.02230760455
39912.5,37212.01308351755
40229.0,38509.4580732286
41714.0,40143.76460471749
42871.5,40646.55695697665
41985.5,39367.56185230613
39501.0,37477.81233993173
36235.0,35158.90262937546
33159.5,31910.58857536316
29285.5,28835.397025734186
26143.5,26309.17078754306
25575.0,25504.631540223956
25372.5,24892.550843954086
24669.5,24041.93611523509
23942.0,23733.34312930703
23546.0,24050.218772560358
24488.5,25248.644062250853
28226.5,28931.867534145713
32618.5,32642.20952102542
36003.0,34831.31033819914
37425.0,36577.92702484131
37502.5,37605.32312083244
37709.5,38044.002664119005
38770.5,38473.45037251711
38296.5,38174.59925672412
38007.0,38928.45695143938
38721.0,39332.58406832814
40347.0,39908.37250754237
41883.0,40150.694388628006
40687.5,40036.43270865083
38166.5,39094.517732292414
34915.5,36991.77828863263
31728.5,33473.309001505375
28174.0,28839.430045753717
25040.0,25808.406760782003
24573.0,25036.506815373898
24369.5,24339.507219791412
23503.0,23483.036931976676
22755.0,23344.70808687806
22372.5,23722.552634581923
23481.5,25230.821382716298
27099.5,28555.12576535344
31722.000000000004,31512.987546533346
35386.0,33213.91964751482
37002.5,34687.169257462025
37218.0,36056.905343323946
38171.5,36958.074608147144
38901.5,38091.63680535555
38695.0,37855.285684376955
38142.0,37785.37737837434
38606.5,38704.295475929976
40272.5,39530.651037842035
41764.0,40174.15797922015
41017.0,39569.527932971716
38432.0,38298.95136374235
35845.5,36484.10417044163
32557.5,33183.030022501945
29122.0,28815.30281856656
26297.0,26156.941020414233
25545.5,25632.844358056784
25029.0,24993.701270371675
23885.5,23927.363294065
22874.0,23375.86946812272
22512.5,23618.44636683166
23595.5,24745.11225734651
27395.0,27730.134892344475
31930.5,30876.35721936822
